object_name,path,object_size,object_type,parant_directory
File_manager,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,31305,directory,Python_advanced
data.csv,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,41,file,Seminar_8
data.json,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,151,file,Seminar_8
data.txt,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,130,file,Seminar_8
data1.json,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,34,file,Seminar_8
data2.json,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,220,file,Seminar_8
main.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,1892,file,Seminar_8
result.csv,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,0,file,Seminar_8
result.json,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,0,file,Seminar_8
result.pickle,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,0,file,Seminar_8
result1.csv,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,651,file,Seminar_8
result1.json,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,1357,file,Seminar_8
result1.pickle,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,710,file,Seminar_8
task_homework.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,4894,file,Seminar_8
__init__.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8,0,file,Seminar_8
__pycache__,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,18488,directory,Seminar_8
create_file_json.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,4636,file,File_manager
create_file_txt.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,562,file,File_manager
csv_to_json.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,1717,file,File_manager
directory_reference.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,3488,file,File_manager
json_to_csv.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,1482,file,File_manager
txt_to_json.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,932,file,File_manager
__init__.py,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager,0,file,File_manager
create_file_json.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,4324,file,__pycache__
create_file_txt.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,1468,file,__pycache__
csv_to_json.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,3008,file,__pycache__
directory_reference.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,5430,file,__pycache__
json_to_csv.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,2420,file,__pycache__
txt_to_json.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,1601,file,__pycache__
__init__.cpython-311.pyc,C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__,237,file,__pycache__
